Metric,Analysis,Test_Type,p_value,Effect_Size,Significance,Good_Metric_N,Good_Metric_MOCA_Mean,Good_Metric_MOCA_Std,Bad_Metric_N,Bad_Metric_MOCA_Mean,Bad_Metric_MOCA_Std,Good_Normal,Bad_Normal
CardiacCouplingStrength_Cardiac,Metric_to_MOCA,Mann-Whitney,0.1590023024087459,0.18655177261062947,ns,4,-1.75,0.9574271077563381,53,-0.4716981132075472,1.8770247896492764,True,False
PulseAmplitudeSE_Cardiac,Metric_to_MOCA,Mann-Whitney,0.5186476521059826,0.08548947905881249,ns,51,-0.6078431372549019,1.8008712488409493,6,-0.16666666666666666,2.401388487243717,False,True
CardiacPhaseLag_Cardiac,Metric_to_MOCA,Mann-Whitney,0.5923449551202226,0.07092089110633194,ns,12,-0.8333333333333334,1.80067327475704,45,-0.4888888888888889,1.8783723880750665,True,False
PulseWaveVelocity_Cardiac,Metric_to_MOCA,Mann-Whitney,0.1433004418487979,0.2157975736723167,ns,32,-0.25,2.0,14,-1.0714285714285714,1.3847680013570565,False,True
AutoregulationEffectiveness_Endothelial,Metric_to_MOCA,t-test,0.29523525400034173,0.3546856327461549,ns,46,-0.43478260869565216,1.7969378139619572,11,-1.0909090909090908,2.0714509627092528,True,True
BilateralEfficiency_Endothelial,Metric_to_MOCA,Mann-Whitney,0.42391908584683513,0.10591497836827553,ns,13,-0.23076923076923078,1.7867030229749128,44,-0.6590909090909091,1.8794257140943758,True,False
COx_CI_Lower_Endothelial,Metric_to_MOCA,Mann-Whitney,0.7734379390413622,0.03813075131143746,ns,41,-0.5121951219512195,1.719330556052445,16,-0.6875,2.212653007891959,True,False
COx_Stability_Endothelial,Metric_to_MOCA,Mann-Whitney,0.5808523549236816,0.07584227852749743,ns,9,-0.1111111111111111,1.7638342073763937,44,-0.5909090909090909,1.8340219092574561,True,False
COx_SingleHemisphere_Endothelial,Metric_to_MOCA,t-test,0.04503277338629044,0.6474795666376855,*,13,-1.4615384615384615,1.8081014266989475,44,-0.29545454545454547,1.7989602352799219,True,True
COx_Window_SE_rSO2_Endothelial,Metric_to_MOCA,t-test,0.31976513881723356,0.2680004283560759,ns,25,-0.84,1.795364401266031,32,-0.34375,1.894122913884742,True,True
XCorr_MaxCorr_Endothelial,Metric_to_MOCA,Mann-Whitney,0.7125465163839619,0.04880083206158987,ns,33,-0.6666666666666666,2.0412414523193148,24,-0.4166666666666667,1.5857152183236396,False,True
XCorr_OptimalLag_Endothelial,Metric_to_MOCA,t-test,0.7721930196555816,0.07765921306812937,ns,32,-0.625,1.80947327926861,25,-0.48,1.9390719429665315,True,True
XCorr_Width_Endothelial,Metric_to_MOCA,Mann-Whitney,0.964760553747614,0.0058518455062208955,ns,17,-0.6470588235294118,1.902011319320558,40,-0.525,1.8534444718567673,False,False
CVRI,Metric_to_MOCA,Mann-Whitney,0.11949852240250286,0.2062140481313749,ns,54,-0.6481481481481481,1.8648426248275922,3,1.0,0.0,False,True
SE_alpha,Metric_to_MOCA,Mann-Whitney,0.3811442429152081,0.11600121064398938,ns,48,-0.4791666666666667,1.9128855704599164,9,-1.0,1.5,False,True
rSO2_alpha,Metric_to_MOCA,Mann-Whitney,0.4105615409450216,0.10899654130059248,ns,53,-0.5094339622641509,1.8669456906673279,4,-1.25,1.707825127659933,False,True
VasomotionStrength_SE,Metric_to_MOCA,Mann-Whitney,0.03215142230247908,0.2837840999575374,*,25,-1.12,1.6411378166788229,32,-0.125,1.9134498484623643,True,False
VasomotionStrength_rSO2,Metric_to_MOCA,Mann-Whitney,0.06142358941666129,0.24774502094594636,ns,51,-0.39215686274509803,1.7897310565841897,6,-2.0,1.8973665961010275,False,True
VasomotionCoupling,Metric_to_MOCA,Mann-Whitney,0.8592137043179693,0.023493916079795316,ns,9,-0.7777777777777778,2.1666666666666665,48,-0.5208333333333334,1.8100144978064414,True,False
EndothelialDysfunctionIndex,Metric_to_MOCA,Mann-Whitney,0.3752003082567541,0.11745615453683793,ns,7,-1.2857142857142858,2.4299715851758235,50,-0.46,1.7636927864279421,True,False
EstimatedCCP,Metric_to_MOCA,Mann-Whitney,0.38122212796505595,0.11807217728036101,ns,5,0.2,1.4832396974191326,50,-0.56,1.8534028274544976,True,False
EstimatedRAP,Metric_to_MOCA,Mann-Whitney,0.6214064970840812,0.06541308465527264,ns,27,-0.7037037037037037,1.977076606718088,30,-0.43333333333333335,1.7554512797005501,False,True
FractalDim_SE,Metric_to_MOCA,Mann-Whitney,0.2922653254706772,0.13949512672378478,ns,9,-1.1111111111111112,1.6158932858054431,48,-0.4583333333333333,1.890157410233601,True,False
SE_Power_Endothelial,Metric_to_MOCA,Mann-Whitney,0.5130660873396972,0.08663381554424526,ns,9,-0.8888888888888888,1.536590742882148,48,-0.5,1.913001429190555,True,False
rSO2_Power_Endothelial,Metric_to_MOCA,Mann-Whitney,0.003822391410929316,0.38311554571104467,**,43,-0.13953488372093023,1.7400245667236345,14,-1.8571428571428572,1.6104057232283402,False,True
PowerRatio_Endothelial,Metric_to_MOCA,Mann-Whitney,0.00295801001853007,0.3936600452968251,**,33,-1.1818181818181819,1.8106377580590467,24,0.2916666666666667,1.5736738147920994,True,False
rSO2_to_SE_Causality_Endothelial,Metric_to_MOCA,Mann-Whitney,0.11902042940604077,0.2350127761275023,ns,41,-0.36585365853658536,1.867566565894983,3,-2.0,1.0,False,True
Bidirectional_Causality_Endothelial,Metric_to_MOCA,Mann-Whitney,0.11902042940604077,0.2350127761275023,ns,41,-0.36585365853658536,1.867566565894983,3,-2.0,1.0,False,True
HRx,Metric_to_MOCA,t-test,0.3918373042268166,0.2395391666993983,ns,20,-0.85,1.899445902583726,37,-0.40540540540540543,1.8327189797835506,True,True
TOHRx,Metric_to_MOCA,t-test,0.7932652016470481,0.07308939166740253,ns,20,-0.65,1.8144159564878983,37,-0.5135135135135135,1.8947533058659878,True,True
Hurst_SE,Metric_to_MOCA,Mann-Whitney,0.9621343864115096,0.006288261998111108,ns,4,-0.5,2.0816659994661326,53,-0.5660377358490566,1.8554434879591886,True,False
Lx_Endothelial,Metric_to_MOCA,Mann-Whitney,0.029473181781196685,0.28836380679274576,*,16,0.3125,1.4930394055974097,41,-0.9024390243902439,1.8815535874481557,True,False
Mx,Metric_to_MOCA,t-test,0.3624732034703978,0.24420409646905267,ns,26,-0.8076923076923077,1.7667876107609712,31,-0.3548387096774194,1.9243767319450766,True,True
COx_TemporalVariability,Metric_to_MOCA,Mann-Whitney,0.09077951081847026,0.2240181639546951,ns,16,0.125,1.6278820596099706,41,-0.8292682926829268,1.8828494234057893,True,False
PRx,Metric_to_MOCA,t-test,0.37360655063061954,0.23766872096282926,ns,28,-0.7857142857142857,1.7921049666914637,29,-0.3448275862068966,1.9137820085774344,True,True
AutoregulationRange,Metric_to_MOCA,Mann-Whitney,0.11019293974581146,0.21157106754673907,ns,42,-0.7857142857142857,1.7604837789336494,15,0.06666666666666667,2.016597794967223,True,False
FRx,Metric_to_MOCA,t-test,0.279500236224939,0.29301014857200147,ns,24,-0.875,2.0067819794495563,33,-0.3333333333333333,1.7260262647673317,True,True
SurrogatePValue,Metric_to_MOCA,Mann-Whitney,0.9353139411930558,0.010750032641995776,ns,26,-0.5769230769230769,2.0233255185081203,31,-0.5483870967741935,1.7289439874755794,False,True
SurrogateSignificance,Metric_to_MOCA,Mann-Whitney,0.9470360826529065,0.00879876924824415,ns,22,-0.6363636363636364,2.1054454238712608,35,-0.5142857142857142,1.7041718459921433,False,True
Sx,Metric_to_MOCA,t-test,0.45489668249540005,0.19940055234368712,ns,29,-0.3793103448275862,1.8010670072298867,28,-0.75,1.9172704363041553,True,True
PhaseDiff_Endothelial,Metric_to_MOCA,Mann-Whitney,0.23931004525547572,0.15585945498301598,ns,54,-0.5,1.8808869846581968,3,-1.6666666666666667,0.5773502691896257,False,False
